Name,Project Name,Software Type,Last Update Time
"DMVPN Hub for Cloud Router- System Default","Onboarding Configuration",IOS-XE,1673301579514
"DMVPN Spoke for Branch Router - System Default","Cloud DayN Templates",IOS-XE,1673301584011
"DMVPN for Cloud Router - System Default","Cloud DayN Templates",IOS-XE,1673301584802
"IPsec 1 Branch for Cloud Router - System Default","Onboarding Configuration",IOS-XE,1673301578449
"IPsec 2 Branch for Cloud Router - System Default","Onboarding Configuration",IOS-XE,1673301580535
"IPsec for Branch Router - System Default","Cloud DayN Templates",IOS-XE,1673301582189
"IPsec for Cloud Router - System Default","Cloud DayN Templates",IOS-XE,1673301583026
